 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
1,965.185,1152.250,969.731,1110.574,954.162,1024.193,1168.608,1096.113,1038.699,1024.363,944.919,888.572,1021.466,895.381,1060.928,1186.834,920.824,892.514,1033.224,981.150,1019.199,1038.761,1038.949,1074.204,919.517,875.690,868.872
2,973.368,1146.092,967.535,1119.488,954.599,1026.225,1169.627,1136.273,1047.095,1051.276,945.076,889.820,1022.387,896.275,1053.012,1170.860,919.993,892.748,1032.593,980.657,1017.307,1039.008,1036.701,1086.062,918.989,876.366,867.737
3,994.317,1139.180,965.896,1131.374,957.887,1029.327,1174.982,1173.910,1053.654,1078.250,947.187,888.787,1026.437,897.065,1042.933,1157.341,919.498,894.388,1029.985,982.983,1017.098,1040.860,1036.597,1086.429,917.877,876.726,869.159
4,996.628,1128.569,963.246,1170.220,960.242,1030.685,1180.426,1230.411,1060.382,1084.107,948.668,889.283,1032.688,895.597,1034.832,1142.756,918.544,895.028,1027.033,979.619,1013.771,1046.933,1029.671,1084.923,914.683,877.330,867.706
5,994.970,1116.713,961.783,1191.079,961.688,1035.941,1186.924,1316.443,1070.173,1088.302,950.974,889.344,1035.469,896.404,1029.330,1128.939,920.572,894.695,1023.831,979.408,1013.358,1074.139,1039.642,1081.321,914.081,876.837,869.281
6,989.816,1104.938,960.188,1196.671,960.661,1041.300,1199.776,1422.749,1083.907,1085.560,960.070,887.514,1036.817,896.336,1022.591,1115.868,919.954,892.734,1019.758,976.214,1010.516,1087.779,1036.319,1075.566,911.655,877.472,868.527
7,985.504,1092.754,957.596,1192.498,960.441,1042.945,1207.119,1513.518,1098.637,1083.631,982.749,884.391,1040.213,896.283,1014.783,1102.603,919.951,892.741,1016.409,971.488,1008.414,1087.410,1038.633,1066.409,908.765,876.381,869.130
8,980.221,1081.703,954.876,1192.601,960.818,1047.480,1211.539,1603.397,1110.474,1084.113,990.431,884.460,1037.976,895.660,1011.420,1092.679,916.378,892.000,1014.338,969.934,1007.692,1082.683,1042.004,1059.474,907.010,875.244,867.745
9,976.556,1071.871,954.370,1187.237,958.667,1049.744,1245.295,1683.823,1120.838,1083.970,1014.945,882.878,1031.693,897.163,1004.896,1083.005,917.157,890.951,1010.969,968.685,1005.388,1076.268,1039.636,1050.554,904.230,874.930,867.574
10,974.107,1059.733,953.185,1192.947,960.040,1051.817,1316.190,1739.906,1132.114,1087.060,1028.786,882.276,1039.660,898.036,999.144,1071.221,916.370,892.121,1008.342,965.242,1005.117,1072.356,1037.744,1044.542,901.416,874.593,867.403
11,971.335,1049.867,951.621,1189.511,957.382,1050.569,1330.942,1751.824,1130.173,1085.460,1028.534,880.622,1036.034,897.637,993.300,1060.398,917.077,890.293,1004.147,962.396,1002.634,1066.261,1032.932,1037.219,898.849,872.788,865.105
12,970.347,1038.825,949.286,1182.165,956.359,1046.853,1326.777,1746.747,1127.180,1080.235,1026.413,880.670,1028.013,897.999,988.319,1051.261,915.749,887.352,1001.803,960.910,1000.633,1057.997,1028.680,1030.796,896.419,873.339,863.369
13,971.099,1030.119,948.013,1174.018,955.949,1049.268,1339.950,1774.612,1127.490,1080.740,1050.728,878.235,1022.163,897.607,983.295,1043.066,914.434,886.779,998.547,960.677,1004.392,1051.432,1025.694,1025.632,896.257,872.805,864.158
14,972.960,1022.908,945.850,1167.849,953.267,1050.576,1380.819,1798.764,1136.332,1086.021,1091.549,876.834,1025.554,898.548,979.329,1034.138,913.819,886.255,996.995,958.950,1037.481,1045.412,1021.677,1020.020,892.004,872.887,863.970
15,973.339,1013.834,944.639,1160.503,953.691,1050.249,1387.304,1817.325,1145.141,1091.608,1115.695,876.589,1026.079,899.203,974.645,1025.708,913.652,886.606,995.760,959.475,1054.483,1041.558,1020.980,1014.918,891.595,872.135,862.485
16,971.343,1006.678,943.563,1152.553,953.607,1051.088,1383.778,1842.298,1152.690,1090.471,1147.092,876.815,1031.659,898.982,972.281,1018.717,913.804,885.778,994.202,956.761,1054.719,1036.118,1016.570,1011.257,889.759,872.218,863.111
17,968.889,999.637,942.628,1144.077,951.741,1052.240,1374.771,1856.876,1161.003,1090.370,1177.664,876.921,1037.276,897.917,972.008,1012.045,912.170,885.072,992.475,957.141,1052.483,1033.686,1019.897,1006.124,888.924,871.883,861.623
