 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,937.181,1043.245,1087.983,1021.639,972.709,980.609,967.285,987.317,962.214,974.032,928.956,907.709,907.738,1043.597,1058.470,1011.202,960.138,960.492,935.110,910.731,990.451,995.198,983.676,992.639,1015.428,940.554,947.763,994.935,965.755,986.205,1000.390,993.323,946.471,954.018,966.375,1001.548,984.437,982.754,1003.431,1018.420,964.365,986.441,1009.141,953.449,969.576,946.216
2,932.903,1046.285,1084.786,1022.239,971.220,980.923,965.343,982.886,962.232,972.584,929.047,905.027,906.311,1043.377,1057.442,1012.616,957.852,962.174,935.605,908.754,987.513,993.102,984.052,994.444,1016.272,940.900,948.084,996.072,966.540,985.548,1000.659,993.865,945.563,954.875,965.648,1002.310,984.288,982.106,1004.034,1020.504,964.193,986.165,1010.115,952.169,968.451,945.617
3,933.784,1045.453,1086.588,1019.779,971.154,981.953,964.636,983.475,962.476,973.550,928.378,905.502,906.016,1042.898,1060.443,1012.536,959.859,960.887,935.882,909.953,989.159,994.154,985.822,994.564,1015.842,943.102,948.004,995.902,966.657,986.877,1002.629,992.450,946.524,955.350,965.847,1001.243,985.238,981.392,1006.102,1020.048,964.991,986.770,1010.212,955.011,969.273,945.624
4,933.250,1044.934,1085.616,1018.330,972.082,981.110,964.178,981.891,960.958,972.066,929.855,903.726,905.651,1042.133,1058.739,1012.500,958.539,959.823,935.705,910.242,988.055,994.006,984.329,991.483,1014.584,940.496,946.696,995.705,965.162,986.167,999.973,992.995,944.175,953.926,965.824,1000.030,985.075,982.164,1004.465,1017.979,964.811,985.805,1009.043,953.893,968.564,944.434
5,933.680,1045.835,1086.055,1018.553,971.073,981.212,963.362,982.467,961.536,974.867,929.185,904.963,906.160,1041.163,1058.966,1011.263,958.424,961.151,935.959,909.934,988.003,993.646,983.890,991.839,1014.172,941.445,947.161,997.100,964.130,986.685,999.404,993.599,945.434,953.988,965.953,998.525,983.971,983.130,1003.396,1017.310,962.645,985.919,1010.380,952.510,968.066,942.818
6,932.899,1047.473,1083.705,1017.233,970.192,981.616,962.301,981.132,960.421,972.009,925.912,905.447,904.988,1040.700,1057.434,1010.498,959.902,959.223,934.570,909.355,988.628,991.932,982.794,992.742,1013.654,938.288,946.868,992.809,964.673,985.836,1000.430,991.110,943.974,953.415,965.264,999.070,982.890,981.679,1001.824,1017.217,962.984,987.255,1008.182,950.731,967.895,941.695
7,931.972,1045.091,1084.898,1016.131,969.542,980.363,964.467,981.225,959.385,972.118,929.290,904.642,905.670,1042.358,1058.119,1010.854,957.591,959.177,933.993,908.882,986.746,992.733,981.924,993.622,1013.729,939.772,947.072,995.328,963.574,986.131,999.533,991.812,944.556,953.163,964.811,999.156,984.280,981.995,1002.335,1016.113,963.575,985.485,1009.304,952.695,968.434,941.355
8,932.374,1046.749,1084.538,1016.688,970.107,977.769,963.916,980.665,959.722,971.749,927.484,902.545,905.571,1041.719,1057.891,1010.000,957.721,957.990,935.116,908.906,987.281,991.841,982.621,993.064,1014.341,939.391,947.812,991.226,964.414,983.650,998.635,991.903,943.245,952.750,964.128,998.816,982.995,981.301,1003.113,1016.739,961.872,984.003,1008.081,950.160,966.597,941.330
9,931.671,1045.972,1084.415,1016.662,970.953,977.335,963.404,978.887,959.540,971.126,928.027,904.018,906.037,1043.565,1057.157,1009.451,958.853,957.810,933.723,908.798,988.763,993.327,983.362,991.330,1013.858,939.847,947.034,994.894,963.771,986.285,998.306,991.882,945.173,952.761,964.489,998.183,982.308,980.864,1001.407,1016.154,962.053,984.404,1007.786,950.652,966.820,942.188
10,931.441,1044.798,1084.939,1014.068,968.755,978.816,962.363,978.664,960.854,971.823,928.737,901.938,905.922,1041.542,1057.331,1009.594,957.820,958.139,934.450,909.151,987.065,992.773,983.456,991.139,1012.623,939.663,944.870,993.156,961.599,985.163,998.374,990.915,942.715,952.188,962.689,998.513,982.813,979.581,1002.341,1016.034,962.134,981.623,1008.484,949.744,964.909,941.392
