 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
1,1418.335,2407.275,4044.967,1330.429,3141.916,3568.123,4310.734,3327.707,1893.622,5756.264,5336.192,1356.318,1430.775,2234.511,1809.512,1351.464,968.993,1546.790,3732.583,3194.028,1243.969,1305.264,1039.907,1096.583,1094.022,968.047,1212.657,1650.575,1036.359,1295.190,1022.617,2686.666,1153.854,1356.916,1075.233,1655.504,1261.944,2669.597,1344.360,2946.810,1879.030,2212.526
2,1416.934,2407.766,4049.289,1329.770,3143.027,3566.794,4312.019,3332.094,1899.276,5762.509,5343.094,1355.175,1433.760,2237.697,1812.072,1354.109,970.389,1548.336,3749.400,3205.272,1245.132,1308.144,1039.721,1099.884,1094.504,969.742,1213.698,1652.390,1036.616,1295.921,1019.526,2688.554,1154.874,1361.172,1072.686,1657.349,1262.680,2672.164,1348.452,2950.504,1877.737,2223.391
3,1416.060,2402.338,4044.974,1326.960,3139.928,3564.518,4303.461,3322.055,1899.644,5764.479,5334.097,1356.869,1432.219,2238.482,1808.414,1355.471,971.037,1547.944,3764.203,3218.937,1245.381,1306.209,1040.681,1098.061,1094.305,968.117,1213.173,1651.135,1037.510,1296.392,1021.328,2687.603,1153.950,1359.553,1072.298,1655.734,1261.922,2669.795,1347.922,2956.478,1878.940,2223.968
4,1416.933,2406.214,4042.490,1327.789,3136.729,3565.475,4306.946,3323.311,1901.562,5760.763,5334.815,1355.222,1431.720,2239.103,1810.652,1358.372,971.963,1549.462,3780.374,3234.432,1245.906,1307.158,1040.182,1098.295,1094.746,968.712,1213.967,1651.265,1039.463,1297.743,1020.779,2691.397,1153.750,1360.050,1072.975,1654.685,1263.088,2674.719,1349.803,2960.816,1879.356,2226.536
5,1417.199,2404.989,4042.021,1328.957,3137.510,3567.587,4307.082,3325.225,1903.737,5757.356,5333.403,1354.909,1431.963,2237.846,1812.428,1360.325,972.398,1548.381,3799.428,3249.493,1246.086,1310.203,1040.417,1097.852,1094.966,968.581,1213.715,1654.400,1037.452,1300.703,1022.015,2686.762,1153.894,1358.242,1072.215,1656.049,1261.092,2674.648,1349.929,2965.357,1880.275,2227.343
6,1418.363,2404.352,4043.472,1329.118,3135.131,3565.914,4305.656,3321.336,1908.112,5759.360,5328.608,1353.721,1432.370,2241.964,1809.597,1362.187,971.424,1548.190,3806.154,3260.935,1244.286,1308.819,1039.919,1096.445,1096.226,968.159,1213.413,1653.168,1036.188,1299.321,1021.563,2686.967,1153.925,1358.933,1072.535,1655.004,1260.107,2672.087,1351.724,2968.423,1877.750,2229.732
7,1417.385,2401.965,4039.807,1327.898,3131.354,3564.552,4302.168,3324.153,1909.039,5755.980,5328.657,1354.828,1431.980,2239.898,1808.936,1365.465,969.739,1548.708,3820.352,3276.455,1244.971,1307.777,1038.690,1096.949,1093.609,967.992,1213.563,1654.065,1036.075,1300.220,1018.404,2681.852,1153.619,1358.885,1071.989,1653.616,1261.258,2673.962,1353.634,2969.655,1878.388,2233.142
8,1418.698,2402.504,4041.772,1329.687,3134.888,3566.737,4302.896,3321.335,1911.190,5752.413,5329.360,1355.853,1431.257,2240.701,1810.061,1367.132,972.529,1548.663,3843.554,3289.281,1245.056,1309.201,1040.747,1099.013,1093.678,969.049,1215.703,1652.983,1038.765,1300.510,1021.105,2683.949,1153.766,1360.134,1073.285,1654.276,1262.455,2674.299,1350.656,2972.644,1877.983,2236.518
9,1419.130,2405.195,4043.283,1328.714,3139.057,3567.036,4304.054,3323.779,1914.375,5752.071,5329.167,1355.985,1430.491,2242.204,1808.374,1369.082,972.473,1551.483,3859.875,3302.674,1244.924,1308.565,1040.573,1097.504,1092.883,968.317,1213.710,1653.780,1036.628,1302.340,1020.730,2686.223,1153.497,1357.786,1073.677,1650.674,1259.956,2671.202,1353.298,2977.106,1878.358,2237.352
10,1417.457,2403.671,4036.875,1327.099,3135.198,3564.609,4299.177,3321.666,1915.708,5748.912,5327.761,1356.670,1432.999,2242.795,1810.087,1370.455,972.456,1551.808,3874.591,3322.610,1244.672,1308.971,1040.988,1098.027,1095.316,967.995,1215.706,1654.341,1039.422,1300.542,1018.892,2686.886,1153.208,1358.475,1072.610,1652.767,1261.655,2670.712,1354.163,2980.152,1876.060,2237.815
11,1417.967,2403.582,4040.067,1328.556,3136.918,3569.206,4301.034,3323.473,1919.648,5758.198,5332.738,1356.725,1431.936,2245.998,1810.851,1374.417,971.449,1553.404,3887.953,3341.608,1245.293,1310.689,1041.109,1099.936,1093.252,969.351,1214.862,1657.419,1036.852,1302.317,1021.343,2689.130,1154.889,1359.657,1075.386,1652.582,1262.669,2672.120,1355.992,2985.886,1877.572,2242.986
12,1419.818,2404.742,4040.657,1328.387,3136.250,3566.681,4297.329,3317.920,1919.470,5751.551,5327.220,1354.506,1432.408,2244.040,1811.794,1375.194,971.232,1554.214,3898.774,3350.172,1246.081,1308.576,1040.370,1098.052,1093.276,968.265,1215.015,1655.088,1037.656,1301.191,1020.445,2685.632,1153.448,1358.076,1073.219,1652.742,1261.479,2674.948,1355.629,2988.106,1877.085,2247.290
13,1419.651,2403.454,4031.620,1329.319,3132.328,3566.522,4295.984,3317.958,1922.922,5752.785,5325.699,1355.928,1430.899,2246.876,1810.236,1378.135,972.872,1553.660,3910.985,3365.675,1245.604,1308.582,1039.187,1098.872,1095.460,968.243,1215.653,1659.154,1036.979,1303.694,1019.399,2685.281,1154.150,1357.777,1072.233,1651.423,1261.504,2675.756,1355.997,2986.698,1877.499,2252.830
14,1422.740,2403.941,4034.248,1329.583,3132.446,3564.165,4297.802,3318.175,1925.425,5750.750,5319.097,1354.552,1428.885,2248.162,1811.575,1379.803,974.829,1555.539,3924.532,3375.758,1245.491,1308.048,1038.089,1096.538,1094.268,968.460,1215.415,1658.258,1035.356,1303.549,1018.189,2685.232,1153.656,1357.914,1072.376,1651.442,1259.078,2674.414,1356.695,2985.571,1875.133,2255.613
15,1421.257,2402.742,4039.555,1328.528,3131.824,3568.470,4302.490,3326.549,1930.290,5752.813,5322.150,1354.824,1431.612,2250.274,1811.367,1384.878,973.284,1555.305,3947.757,3399.444,1247.686,1308.118,1039.877,1099.044,1093.005,968.139,1215.083,1661.568,1038.362,1303.895,1022.074,2684.379,1153.958,1360.865,1073.250,1654.251,1261.056,2677.315,1361.294,2992.951,1878.290,2261.565
16,1420.747,2403.583,4036.351,1330.538,3133.166,3570.455,4299.726,3318.195,1931.389,5750.661,5324.007,1356.748,1432.393,2253.010,1814.083,1389.818,974.966,1557.712,3954.888,3411.147,1246.961,1308.853,1040.803,1097.832,1094.900,968.438,1215.628,1661.155,1037.537,1306.947,1019.354,2686.480,1153.424,1359.298,1073.901,1652.860,1262.453,2676.461,1361.549,2990.447,1876.446,2261.553
17,1420.629,2400.959,4033.061,1330.513,3134.148,3567.020,4295.849,3316.180,1933.443,5750.500,5323.664,1356.061,1431.294,2252.942,1815.925,1392.695,976.031,1559.046,3969.356,3415.478,1245.956,1308.968,1041.336,1098.500,1093.776,968.058,1215.775,1662.696,1037.855,1307.334,1019.815,2686.159,1153.123,1360.110,1072.132,1651.996,1262.112,2672.980,1362.100,2991.663,1875.670,2263.463
18,1420.830,2402.274,4031.894,1330.164,3134.427,3570.089,4294.912,3320.399,1936.008,5748.507,5318.067,1355.126,1430.823,2255.386,1821.454,1396.739,976.527,1557.305,3979.699,3426.191,1246.744,1307.911,1040.427,1099.352,1094.240,967.954,1217.555,1663.258,1037.935,1307.664,1019.304,2683.524,1152.818,1358.674,1072.909,1653.227,1261.463,2673.800,1364.578,2992.191,1874.085,2262.910
19,1421.392,2401.431,4028.000,1330.062,3130.440,3567.837,4293.560,3315.725,1937.009,5745.817,5320.023,1356.383,1430.473,2258.004,1824.453,1402.158,979.500,1559.720,3997.481,3444.512,1246.367,1308.543,1040.679,1097.762,1094.415,969.184,1217.045,1662.816,1035.864,1309.087,1020.907,2682.267,1153.356,1360.833,1074.154,1653.385,1261.764,2677.230,1365.181,2992.961,1875.873,2266.262
20,1422.438,2400.434,4030.729,1331.051,3132.218,3571.862,4295.564,3311.469,1937.941,5749.461,5319.483,1356.024,1430.855,2258.761,1821.258,1406.585,980.385,1559.978,4010.579,3459.171,1247.058,1308.009,1040.345,1096.657,1094.050,969.175,1218.826,1662.586,1037.590,1309.532,1019.724,2683.916,1153.992,1363.083,1072.680,1652.178,1263.050,2676.338,1366.103,2997.273,1877.667,2272.401
21,1421.656,2398.706,4028.658,1333.362,3133.680,3568.778,4292.577,3312.495,1939.601,5752.470,5317.555,1356.415,1431.689,2264.549,1827.006,1411.417,982.952,1560.077,4017.267,3462.790,1245.938,1309.612,1040.767,1098.497,1094.264,968.568,1219.058,1666.396,1035.476,1309.895,1020.663,2687.459,1153.503,1361.160,1073.622,1651.318,1262.391,2675.821,1368.304,2994.949,1877.307,2276.050
22,1419.747,2400.765,4026.242,1332.203,3132.950,3567.656,4291.646,3311.972,1940.044,5747.882,5318.388,1356.496,1429.356,2265.336,1824.194,1416.837,982.126,1562.299,4025.972,3475.615,1246.086,1308.516,1041.325,1097.505,1093.009,969.860,1218.879,1667.327,1036.874,1310.262,1019.589,2684.895,1153.546,1361.865,1073.031,1651.042,1262.417,2676.999,1369.477,2995.336,1877.040,2280.240
23,1423.469,2399.224,4022.507,1332.471,3129.815,3570.297,4291.072,3308.577,1944.298,5747.199,5313.100,1353.078,1430.416,2265.342,1826.183,1423.391,985.923,1562.194,4040.846,3488.927,1245.770,1308.395,1038.323,1096.407,1093.238,968.218,1218.969,1666.197,1036.294,1311.611,1020.845,2686.212,1153.782,1359.727,1072.220,1649.953,1262.167,2676.792,1369.354,2996.334,1873.930,2282.574
24,1421.781,2394.650,4016.962,1330.816,3124.413,3562.480,4282.292,3302.927,1943.622,5733.405,5300.229,1352.823,1429.332,2264.465,1823.887,1427.956,984.379,1561.517,4043.762,3500.175,1243.250,1305.706,1038.517,1094.918,1092.571,967.073,1218.758,1664.540,1036.839,1310.116,1019.811,2678.930,1151.573,1358.989,1070.871,1647.149,1260.423,2675.160,1370.049,2992.617,1872.916,2285.788
25,1421.835,2394.066,4018.299,1331.986,3126.469,3563.254,4282.245,3301.844,1947.759,5733.650,5301.981,1350.998,1429.764,2267.708,1821.405,1435.586,985.093,1561.936,4048.469,3501.409,1245.166,1304.800,1039.575,1096.902,1092.802,967.728,1219.519,1665.684,1034.976,1308.956,1018.828,2681.177,1151.597,1357.579,1070.825,1650.327,1262.786,2677.389,1372.453,2995.247,1872.573,2287.299
26,1418.897,2397.048,4020.574,1333.141,3128.494,3569.290,4284.785,3305.119,1949.005,5732.406,5299.961,1354.403,1428.395,2269.816,1823.145,1446.015,987.917,1562.011,4060.936,3515.638,1246.953,1306.330,1040.303,1097.732,1095.043,966.762,1220.752,1671.426,1036.793,1311.560,1017.923,2679.896,1152.203,1360.285,1072.948,1650.318,1261.245,2678.458,1375.100,2995.421,1874.768,2296.529
27,1419.277,2396.751,4019.931,1333.945,3127.390,3569.346,4283.923,3303.264,1950.634,5730.324,5300.134,1352.671,1428.728,2270.555,1821.556,1454.017,990.643,1562.475,4075.221,3529.349,1246.696,1306.933,1038.897,1096.575,1091.547,967.971,1220.365,1669.026,1035.250,1312.812,1017.030,2678.136,1152.111,1358.469,1072.479,1650.547,1260.969,2676.980,1378.486,2995.356,1871.953,2299.308
28,1416.285,2395.038,4015.428,1334.147,3123.422,3566.075,4275.914,3300.828,1950.791,5725.096,5296.973,1351.968,1428.986,2273.169,1822.998,1460.876,990.719,1562.181,4079.946,3537.609,1246.519,1305.854,1038.668,1097.324,1092.998,967.524,1220.916,1667.429,1034.351,1312.652,1019.397,2678.142,1151.683,1356.714,1072.785,1648.722,1259.927,2674.805,1379.995,2994.272,1873.797,2300.751
29,1419.492,2395.592,4019.742,1335.714,3127.699,3568.537,4278.249,3298.319,1954.656,5732.877,5299.229,1353.648,1429.281,2274.932,1826.343,1474.768,991.894,1564.910,4088.479,3557.438,1246.005,1306.849,1037.321,1096.138,1094.145,968.154,1221.853,1671.949,1034.331,1313.736,1018.776,2681.241,1152.754,1360.699,1072.537,1653.156,1263.332,2678.228,1382.863,3003.208,1876.596,2301.409
30,1422.948,2395.744,4020.149,1334.983,3127.535,3570.581,4278.005,3300.796,1957.245,5732.537,5303.892,1352.859,1429.662,2280.485,1831.857,1485.849,992.887,1566.625,4107.207,3573.576,1246.786,1307.371,1038.240,1096.650,1092.683,967.708,1221.493,1673.387,1034.038,1315.955,1019.533,2682.102,1153.177,1363.143,1071.917,1650.647,1261.855,2684.136,1385.489,3002.812,1875.170,2307.353
31,1420.735,2394.988,4015.743,1336.114,3127.420,3569.634,4277.400,3294.808,1957.061,5732.060,5296.065,1351.853,1430.692,2279.932,1832.411,1500.504,993.964,1565.749,4108.861,3581.374,1246.778,1306.707,1038.852,1095.966,1092.237,967.377,1221.337,1674.692,1034.234,1313.573,1016.008,2681.822,1152.955,1359.581,1072.655,1648.759,1261.895,2683.249,1386.128,3002.186,1874.990,2305.626
32,1421.137,2394.055,4012.998,1334.219,3124.882,3568.881,4274.813,3293.871,1955.970,5725.677,5291.262,1351.192,1424.929,2278.705,1834.797,1514.182,992.501,1565.729,4110.632,3585.004,1245.884,1306.908,1039.371,1096.824,1092.864,966.967,1221.440,1674.155,1036.069,1315.211,1019.105,2677.029,1152.312,1359.650,1073.178,1646.241,1260.318,2683.119,1387.810,2998.917,1872.867,2309.333
33,1421.021,2394.865,4011.565,1335.871,3125.807,3569.855,4274.872,3294.731,1960.621,5729.823,5288.495,1353.534,1428.194,2282.274,1837.493,1534.972,995.725,1568.216,4122.153,3598.994,1247.521,1308.112,1039.085,1096.959,1091.420,967.144,1221.713,1678.491,1034.204,1317.035,1017.261,2678.059,1153.389,1360.736,1071.990,1646.786,1260.903,2686.555,1387.683,2999.505,1873.175,2314.777
