 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
1,4143.491,2311.040,4152.738,2636.943,9383.600,3148.767,2502.872,2407.777,1871.902,3358.341,3256.792,1635.692,3653.441,2921.717,2082.228,2151.465,2993.539,3901.095,5940.309,4333.757,6277.177,1482.273,1712.163,2376.675,1331.760,5768.396,2049.258,2194.871,2214.291,2564.799,1653.587,1741.902,2106.961,5792.732,2392.013,4085.310,3517.534,2129.635,3383.788
2,4141.716,2310.046,4157.550,2637.349,9390.791,3151.867,2505.662,2410.028,1873.474,3358.048,3260.115,1635.366,3652.624,2919.411,2078.820,2157.695,2997.328,3903.118,5938.796,4336.609,6273.314,1482.310,1710.992,2376.497,1332.987,5770.705,2049.176,2196.750,2215.582,2574.262,1657.193,1744.514,2109.916,5790.179,2392.955,4087.511,3519.159,2130.378,3386.703
3,4142.225,2311.792,4161.719,2640.518,9402.890,3153.966,2507.758,2407.466,1873.086,3365.690,3261.140,1637.250,3657.770,2920.193,2082.157,2157.721,2997.528,3904.970,5944.642,4336.281,6281.129,1484.011,1712.543,2376.349,1334.745,5779.833,2050.992,2200.527,2216.219,2579.439,1659.677,1745.101,2112.507,5793.705,2393.203,4088.186,3518.568,2128.180,3395.735
4,4141.691,2311.036,4157.631,2637.812,9404.050,3151.980,2508.554,2404.724,1873.947,3360.987,3261.547,1636.868,3654.240,2918.934,2080.341,2157.789,2997.486,3906.034,5945.090,4330.045,6277.303,1482.943,1711.740,2376.863,1332.051,5776.605,2049.194,2200.281,2221.108,2585.380,1661.830,1744.616,2106.220,5792.765,2390.865,4090.174,3520.366,2127.630,3384.965
5,4135.548,2310.170,4153.765,2636.556,9401.221,3149.296,2505.001,2411.434,1873.128,3357.215,3261.302,1636.207,3655.905,2917.053,2082.135,2153.808,2995.165,3900.891,5940.796,4328.054,6274.747,1482.391,1711.016,2377.305,1330.609,5773.373,2050.007,2200.625,2221.488,2594.544,1666.173,1744.043,2107.351,5785.796,2389.750,4087.412,3519.206,2128.284,3391.436
6,4138.056,2307.725,4156.455,2639.134,9400.541,3152.945,2505.909,2409.954,1872.629,3357.982,3260.922,1635.538,3656.134,2918.789,2080.844,2155.088,2996.451,3895.567,5936.801,4326.368,6276.554,1482.188,1711.214,2377.230,1330.975,5777.081,2050.074,2203.417,2224.957,2594.810,1667.894,1742.495,2106.957,5784.235,2387.761,4089.299,3516.318,2127.011,3379.602
7,4142.034,2310.809,4158.054,2639.095,9405.606,3151.451,2506.655,2411.106,1873.214,3358.993,3261.243,1635.702,3662.711,2918.902,2085.127,2158.467,2995.283,3898.959,5945.312,4329.397,6276.991,1483.059,1711.141,2376.575,1330.861,5777.536,2051.825,2203.374,2229.464,2606.577,1672.389,1746.045,2108.047,5787.528,2393.795,4089.931,3520.347,2127.672,3384.889
8,4137.990,2311.459,4157.026,2636.473,9405.790,3152.047,2503.186,2410.846,1873.107,3359.618,3262.345,1635.044,3653.312,2918.611,2080.838,2154.279,2993.116,3897.166,5944.198,4324.750,6271.144,1482.602,1709.949,2376.609,1331.291,5779.345,2049.020,2204.266,2231.795,2610.614,1672.533,1745.802,2105.296,5786.974,2392.409,4088.672,3514.917,2127.594,3387.660
9,4140.380,2312.190,4153.619,2637.487,9405.732,3150.794,2503.015,2413.034,1873.790,3363.048,3259.993,1635.422,3656.061,2919.873,2083.879,2153.848,2993.336,3892.981,5948.598,4325.010,6274.239,1482.745,1709.103,2374.458,1331.537,5781.383,2048.714,2203.543,2233.662,2619.990,1676.785,1743.963,2104.224,5783.236,2393.136,4089.829,3514.886,2129.614,3390.333
10,4142.424,2310.003,4156.733,2640.229,9414.074,3152.891,2501.328,2412.800,1874.861,3362.565,3263.096,1635.938,3655.405,2919.631,2084.733,2159.762,2994.776,3898.543,5949.039,4324.892,6272.771,1482.498,1711.355,2376.901,1330.079,5784.498,2050.188,2206.059,2239.710,2629.603,1677.203,1745.532,2105.659,5789.985,2394.338,4087.127,3516.984,2128.693,3392.752
11,4145.190,2307.407,4157.991,2640.943,9416.234,3155.240,2500.044,2411.377,1874.255,3362.781,3262.589,1636.648,3655.333,2919.654,2085.824,2157.758,2995.448,3901.915,5948.744,4320.563,6271.986,1482.275,1712.095,2374.186,1331.673,5784.601,2050.400,2209.678,2238.656,2638.512,1681.415,1745.444,2105.077,5788.704,2393.332,4091.167,3517.657,2128.367,3393.703
12,4144.217,2311.554,4159.104,2642.421,9420.210,3155.711,2502.903,2411.297,1874.129,3364.627,3264.998,1637.201,3660.733,2917.447,2082.111,2156.924,2994.492,3901.137,5950.468,4321.493,6271.731,1482.760,1711.628,2374.168,1332.469,5787.955,2049.752,2211.169,2249.803,2648.278,1683.843,1747.002,2107.377,5787.048,2393.531,4089.760,3519.150,2128.865,3395.338
13,4139.520,2312.052,4156.849,2643.571,9424.544,3155.639,2502.224,2412.834,1875.317,3365.486,3265.005,1636.866,3659.498,2920.644,2084.490,2156.913,2996.851,3902.068,5953.392,4322.069,6275.434,1483.215,1712.498,2375.937,1332.741,5791.855,2049.970,2210.744,2253.697,2654.221,1688.211,1747.480,2108.689,5790.269,2393.112,4091.424,3521.998,2127.589,3390.165
14,4142.567,2310.181,4160.926,2642.709,9426.938,3156.348,2505.416,2415.545,1876.379,3360.358,3266.245,1637.953,3661.282,2919.881,2083.005,2159.341,2995.239,3897.376,5950.821,4320.364,6274.086,1483.669,1711.999,2373.979,1330.018,5794.542,2050.323,2213.366,2257.216,2665.740,1693.878,1746.828,2107.322,5784.211,2390.640,4089.980,3520.257,2128.016,3394.095
15,4137.200,2308.367,4158.884,2638.932,9422.779,3154.090,2501.269,2413.346,1874.860,3363.992,3265.587,1636.653,3663.565,2919.276,2083.447,2154.004,2992.094,3897.642,5943.293,4315.616,6272.206,1482.278,1708.796,2374.689,1328.673,5790.050,2049.210,2213.222,2255.459,2665.608,1693.866,1749.158,2108.437,5787.530,2391.864,4090.015,3518.180,2125.932,3389.784
16,4145.009,2312.557,4162.232,2640.719,9435.037,3159.413,2507.035,2416.139,1875.490,3363.979,3265.113,1637.316,3659.677,2920.803,2083.058,2154.385,2996.081,3904.341,5954.705,4318.041,6277.281,1484.586,1712.490,2376.991,1331.617,5794.856,2052.762,2216.214,2266.829,2675.153,1701.598,1750.992,2106.227,5790.897,2395.876,4094.069,3520.548,2130.513,3400.275
17,4143.472,2309.220,4159.165,2641.336,9430.775,3152.662,2503.142,2416.978,1875.674,3364.519,3263.568,1636.114,3657.812,2921.612,2080.237,2154.268,2992.521,3898.013,5950.434,4309.096,6267.644,1482.905,1711.368,2376.408,1330.479,5792.732,2049.655,2215.932,2265.277,2675.475,1699.928,1749.493,2105.743,5784.056,2394.508,4093.291,3519.745,2127.186,3395.915
18,4142.514,2310.510,4153.424,2639.864,9426.742,3151.997,2503.910,2417.156,1875.711,3364.179,3266.314,1638.114,3657.594,2919.229,2083.438,2154.602,2995.225,3895.664,5955.626,4312.364,6273.185,1482.902,1710.265,2376.715,1330.519,5792.479,2051.605,2216.439,2273.115,2689.728,1706.128,1749.103,2107.110,5785.867,2393.478,4094.800,3520.090,2127.394,3394.254
19,4140.807,2311.305,4153.339,2639.485,9427.456,3152.901,2499.795,2416.210,1874.970,3364.574,3264.283,1636.918,3659.642,2921.098,2084.900,2151.806,2991.146,3893.370,5953.467,4312.809,6265.220,1482.696,1710.573,2374.893,1330.151,5791.180,2050.917,2214.109,2276.488,2691.382,1705.554,1749.078,2106.101,5787.089,2393.623,4090.453,3520.083,2127.481,3397.328
20,4138.627,2308.262,4157.658,2642.542,9433.875,3153.202,2501.061,2417.923,1874.590,3366.251,3267.170,1637.193,3661.415,2920.220,2083.402,2153.478,2995.966,3898.111,5950.022,4310.389,6261.691,1482.038,1710.460,2374.821,1331.288,5795.898,2051.071,2218.484,2274.872,2700.143,1710.464,1751.051,2109.413,5782.739,2392.833,4093.866,3517.177,2127.794,3398.684
21,4142.355,2308.992,4160.385,2641.859,9436.882,3155.893,2499.913,2416.447,1874.238,3367.761,3264.284,1638.133,3658.707,2916.702,2082.224,2155.490,2991.509,3899.972,5952.251,4310.894,6262.869,1483.940,1711.802,2374.750,1329.837,5796.101,2049.201,2219.508,2279.698,2702.395,1713.778,1748.442,2104.538,5782.639,2393.774,4092.932,3518.868,2126.891,3395.345
22,4134.944,2305.272,4157.271,2643.604,9438.902,3152.503,2500.834,2414.953,1874.499,3365.814,3262.782,1636.815,3662.032,2917.063,2082.634,2155.130,2989.189,3895.801,5954.890,4303.376,6261.229,1481.071,1709.628,2371.569,1328.181,5796.352,2048.531,2218.626,2283.299,2707.555,1718.878,1747.881,2100.088,5778.204,2391.117,4089.518,3513.174,2123.875,3395.562
23,4135.284,2308.490,4161.821,2641.203,9438.898,3152.844,2502.441,2414.930,1874.049,3367.498,3265.333,1638.646,3659.002,2917.545,2082.634,2154.280,2992.742,3898.752,5952.632,4305.772,6265.015,1483.002,1710.863,2373.272,1328.776,5800.380,2050.733,2222.671,2289.557,2714.094,1722.292,1747.950,2106.378,5777.500,2392.527,4092.561,3516.920,2125.038,3393.778
24,4138.786,2310.739,4159.938,2646.792,9448.442,3156.238,2501.646,2415.696,1873.612,3366.358,3263.346,1636.174,3661.499,2920.468,2082.414,2155.568,2989.694,3895.082,5955.901,4303.360,6263.349,1482.528,1708.675,2374.359,1328.504,5803.724,2049.926,2223.680,2293.896,2717.721,1728.409,1750.848,2105.111,5778.529,2390.385,4092.542,3513.132,2126.062,3395.382
25,4140.775,2309.702,4162.890,2645.197,9449.803,3155.199,2498.340,2415.618,1873.459,3363.825,3264.378,1635.432,3658.211,2920.082,2084.179,2156.157,2989.540,3902.208,5954.876,4303.469,6261.798,1482.129,1709.408,2374.216,1328.233,5802.401,2049.509,2222.574,2296.715,2723.911,1730.481,1752.680,2102.522,5775.812,2390.527,4092.731,3512.929,2125.187,3392.609
26,4140.589,2312.471,4160.507,2649.218,9447.424,3156.130,2497.765,2419.963,1872.455,3369.546,3263.071,1637.492,3661.965,2922.155,2084.726,2157.886,2990.289,3903.209,5963.551,4302.398,6261.383,1482.931,1711.141,2372.907,1330.431,5803.199,2051.162,2223.436,2304.347,2727.494,1736.283,1753.484,2105.838,5781.262,2393.049,4093.804,3513.642,2127.628,3399.871
27,4140.227,2309.380,4161.254,2647.827,9445.986,3153.157,2499.441,2417.422,1873.654,3366.767,3262.610,1636.219,3659.269,2921.757,2085.961,2155.213,2989.210,3899.305,5961.083,4302.100,6252.922,1482.791,1708.814,2374.770,1328.009,5805.711,2051.598,2223.935,2310.464,2745.298,1738.473,1753.397,2107.267,5778.729,2389.936,4093.541,3512.325,2125.415,3403.180
28,4136.369,2309.292,4160.257,2651.252,9446.663,3151.656,2496.391,2415.002,1871.963,3363.831,3264.122,1636.586,3663.615,2919.549,2085.966,2157.220,2991.292,3897.714,5963.088,4300.984,6251.819,1482.165,1710.211,2373.528,1328.842,5806.161,2048.278,2225.222,2312.637,2739.322,1743.775,1753.405,2106.104,5778.360,2391.172,4091.499,3512.090,2124.237,3398.526
29,4139.391,2309.775,4159.478,2652.334,9450.032,3154.992,2498.267,2416.719,1873.626,3364.491,3264.771,1637.468,3663.510,2922.247,2082.644,2155.194,2990.372,3898.973,5966.440,4300.417,6248.696,1482.501,1708.994,2374.286,1327.704,5807.052,2049.491,2227.167,2324.616,2750.379,1748.488,1755.594,2104.672,5780.494,2390.659,4095.498,3511.772,2124.942,3403.053
30,4141.366,2308.243,4164.327,2654.380,9461.073,3156.696,2499.033,2418.660,1873.734,3370.164,3266.106,1637.880,3664.048,2924.097,2086.636,2158.576,2992.299,3898.768,5967.634,4299.221,6252.180,1482.452,1710.014,2373.491,1328.270,5812.120,2049.235,2228.604,2332.018,2757.643,1754.485,1754.640,2107.152,5781.387,2391.579,4094.687,3515.541,2127.102,3405.083
31,4136.789,2308.240,4160.675,2653.631,9455.949,3153.812,2500.624,2416.354,1873.911,3367.634,3266.444,1636.231,3663.124,2920.903,2082.397,2154.384,2991.038,3890.245,5961.595,4293.637,6246.254,1480.881,1708.837,2370.734,1325.877,5809.064,2047.528,2226.366,2331.002,2757.273,1758.206,1753.055,2104.683,5773.358,2389.907,4089.755,3511.928,2124.681,3401.203
